Plot_names,EAST,NORTH,Year,District,Township,Zone
N181974E1971996,181974,1971996,2011,Thayarwaddy,Tharrawaddy,47
N182002E1970008,182002,1970008,2011,Thayarwaddy,Tharrawaddy,47
N182004E1962006,182004,1962006,2011,Thayarwaddy,Tharrawaddy,47
N182009E1964004,182009,1964004,2011,Thayarwaddy,Tharrawaddy,47
N182232E1974110,182232,1974110,2011,Thayarwaddy,Tharrawaddy,47
N182246E1977268,182246,1977268,2011,Thayarwaddy,Tharrawaddy,47
N183934E1999962,183934,1999962,2011,Thayarwaddy,Letpadan,47
N183938E2028020,183938,2028020,2011,Thayarwaddy,Gyobingauk,47
N183948E2022059,183948,2022059,2011,Thayarwaddy,Okpo,47
N183955E1988182,183955,1988182,2011,Thayarwaddy,Letpadan,47
N183982E2003977,183982,2003977,2011,Thayarwaddy,Letpadan,47
N183982E2020114,183982,2020114,2011,Thayarwaddy,Okpo,47
N183985E2006008,183985,2006008,2011,Thayarwaddy,Okpo,47
N183987E2025978,183987,2025978,2011,Thayarwaddy,Gyobingauk,47
N183994E1975992,183994,1975992,2011,Thayarwaddy,Tharrawaddy,47
N183994E1981998,183994,1981998,2011,Thayarwaddy,Tharrawaddy,47
N183996E1993975,183996,1993975,2011,Thayarwaddy,Letpadan,47
N183996E2001978,183996,2001978,2011,Thayarwaddy,Letpadan,47
N183997E1992172,183997,1992172,2011,Thayarwaddy,Letpadan,47
N183998E1984004,183998,1984004,2011,Thayarwaddy,Letpadan,47
N183998E1998020,183998,1998020,2011,Thayarwaddy,Letpadan,47
N184000E2010001,184000,2010001,2011,Thayarwaddy,Okpo,47
N184000E2011998,184000,2011998,2011,Thayarwaddy,Okpo,47
N184003E1971985,184003,1971985,2011,Thayarwaddy,Tharrawaddy,47
N184006E2023961,184006,2023961,2011,Thayarwaddy,Gyobingauk,47
N184008E1985981,184008,1985981,2011,Thayarwaddy,Letpadan,47
N184010E1967997,184010,1967997,2011,Thayarwaddy,Tharrawaddy,47
N184011E1990118,184011,1990118,2011,Thayarwaddy,Letpadan,47
N184014E1969991,184014,1969991,2011,Thayarwaddy,Tharrawaddy,47
N184014E1979998,184014,1979998,2011,Thayarwaddy,Tharrawaddy,47
N184017E1974020,184017,1974020,2011,Thayarwaddy,Tharrawaddy,47
N184023E1996010,184023,1996010,2011,Thayarwaddy,Letpadan,47
N184024E1978019,184024,1978019,2011,Thayarwaddy,Tharrawaddy,47
N184034E2016060,184034,2016060,2011,Thayarwaddy,Okpo,47
N184041E2030113,184041,2030113,2011,Thayarwaddy,Gyobingauk,47
N184042E2018076,184042,2018076,2011,Thayarwaddy,Okpo,47
N184043E2008087,184043,2008087,2011,Thayarwaddy,Okpo,47
N184098E2014108,184098,2014108,2011,Thayarwaddy,Okpo,47
N185000E2043000,185000,2043000,2010,Taunggoo,Phyu,47
N185000E2045000,185000,2045000,2010,Taunggoo,Phyu,47
N185000E2047000,185000,2047000,2010,Taunggoo,Phyu,47
N185000E2049000,185000,2049000,2010,Taunggoo,Phyu,47
N185000E2051000,185000,2051000,2010,Taunggoo,Phyu,47
N185000E2053000,185000,2053000,2010,Taunggoo,Phyu,47
N185000E2055000,185000,2055000,2010,Taunggoo,Phyu,47
N185000E2057000,185000,2057000,2010,Taunggoo,Phyu,47
N185000E2059000,185000,2059000,2010,Taunggoo,Phyu,47
N185000E2061000,185000,2061000,2010,Taunggoo,Phyu,47
N185000E2063000,185000,2063000,2010,Taunggoo,Phyu,47
N185000E2065000,185000,2065000,2010,Taunggoo,Phyu,47
N185000E2067000,185000,2067000,2010,Taunggoo,Phyu,47
N185000E2069000,185000,2069000,2010,Taunggoo,Phyu,47
N185000E2071000,185000,2071000,2010,Taunggoo,Phyu,47
N185000E2073000,185000,2073000,2010,Taunggoo,Phyu,47
N185000E2075000,185000,2075000,2010,Taunggoo,Oktwin,47
N185000E2077000,185000,2077000,2010,Taunggoo,Oktwin,47
N185000E2079000,185000,2079000,2010,Taunggoo,Oktwin,47
N185000E2081000,185000,2081000,2010,Taunggoo,Oktwin,47
N185000E2083000,185000,2083000,2010,Taunggoo,Oktwin,47
N185000E2085000,185000,2085000,2010,Taunggoo,Oktwin,47
N185000E2087000,185000,2087000,2010,Taunggoo,Oktwin,47
N185000E2089000,185000,2089000,2010,Taunggoo,Oktwin,47
N185000E2091000,185000,2091000,2010,Taunggoo,Oktwin,47
N185000E2093000,185000,2093000,2010,Taunggoo,Taunggoo,47
N185000E2095000,185000,2095000,2010,Taunggoo,Taunggoo,47
N185000E2101000,185000,2101000,2010,Taunggoo,Taunggoo,47
N185000E2103000,185000,2103000,2010,Taunggoo,Taunggoo,47
N185000E2105000,185000,2105000,2010,Taunggoo,Taunggoo,47
N185000E2107000,185000,2107000,2010,Taunggoo,Taunggoo,47
N185000E2109000,185000,2109000,2010,Taunggoo,Taunggoo,47
N185000E2111000,185000,2111000,2010,Taunggoo,Yedashe,47
N185000E2113000,185000,2113000,2010,Taunggoo,Yedashe,47
N185000E2115000,185000,2115000,2010,Taunggoo,Yedashe,47
N185000E2117000,185000,2117000,2010,Taunggoo,Yedashe,47
N185000E2119000,185000,2119000,2010,Taunggoo,Yedashe,47
N185000E2121000,185000,2121000,2010,Taunggoo,Yedashe,47
N185000E2123000,185000,2123000,2010,Taunggoo,Yedashe,47
N185000E2125000,185000,2125000,2010,Taunggoo,Yedashe,47
N185000E2131000,185000,2131000,2010,Taunggoo,Yedashe,47
N185000E2133000,185000,2133000,2010,Taunggoo,Yedashe,47
N185000E2135000,185000,2135000,2010,Taunggoo,Yedashe,47
N185000E2137000,185000,2137000,2010,Taunggoo,Yedashe,47
N185000E2139000,185000,2139000,2010,Taunggoo,Yedashe,47
N185000E2141000,185000,2141000,2010,Taunggoo,Yedashe,47
N185000E2197000,185000,2197000,2010,Taunggoo,Taunggoo,47
N185000E2199000,185000,2199000,2010,Taunggoo,Taunggoo,47
N185590E1983682,185590,1983682,2011,Thayarwaddy,Letpadan,47
N185877E1985989,185877,1985989,2011,Thayarwaddy,Letpadan,47
N185901E2024018,185901,2024018,2011,Thayarwaddy,Gyobingauk,47
N185935E2004972,185935,2004972,2011,Thayarwaddy,Okpo,47
N185974E1981998,185974,1981998,2011,Thayarwaddy,Tharrawaddy,47
N185985E2004018,185985,2004018,2011,Thayarwaddy,Letpadan,47
N185986E2008025,185986,2008025,2011,Thayarwaddy,Okpo,47
N185993E1969997,185993,1969997,2011,Thayarwaddy,Tharrawaddy,47
N185997E1992005,185997,1992005,2011,Thayarwaddy,Letpadan,47
N185998E1971974,185998,1971974,2011,Thayarwaddy,Tharrawaddy,47
N185999E2009998,185999,2009998,2011,Thayarwaddy,Okpo,47
N186000E1990000,186000,1990000,2011,Thayarwaddy,Letpadan,47
N186000E2026000,186000,2026000,2011,Thayarwaddy,Gyobingauk,47
N186004E1997982,186004,1997982,2011,Thayarwaddy,Letpadan,47
N186009E1996014,186009,1996014,2011,Thayarwaddy,Letpadan,47
N186013E1992005,186013,1992005,2011,Thayarwaddy,Letpadan,47
N186016E1976014,186016,1976014,2011,Thayarwaddy,Tharrawaddy,47
N186016E2001992,186016,2001992,2011,Thayarwaddy,Letpadan,47
N186021E1973991,186021,1973991,2011,Thayarwaddy,Tharrawaddy,47
N186022E2000141,186022,2000141,2011,Thayarwaddy,Letpadan,47
N186024E1993992,186024,1993992,2011,Thayarwaddy,Letpadan,47
N186027E2006092,186027,2006092,2011,Thayarwaddy,Okpo,47
N186064E2020093,186064,2020093,2011,Thayarwaddy,Okpo,47
N186102E2016032,186102,2016032,2011,Thayarwaddy,Okpo,47
N186107E2017908,186107,2017908,2011,Thayarwaddy,Okpo,47
N186236E1979838,186236,1979838,2011,Thayarwaddy,Tharrawaddy,47
N186253E1978042,186253,1978042,2011,Thayarwaddy,Tharrawaddy,47
N186259E2012379,186259,2012379,2011,Thayarwaddy,Okpo,47
N186994E2131004,186994,2131004,2010,Taunggoo,Yedashe,47
N187000E2045000,187000,2045000,2010,Taunggoo,Phyu,47
N187000E2047000,187000,2047000,2010,Taunggoo,Phyu,47
N187000E2049000,187000,2049000,2010,Taunggoo,Phyu,47
N187000E2051000,187000,2051000,2010,Taunggoo,Phyu,47
N187000E2055000,187000,2055000,2010,Taunggoo,Phyu,47
N187000E2057000,187000,2057000,2010,Taunggoo,Phyu,47
N187000E2058000,187000,2058000,2010,Taunggoo,Phyu,47
N187000E2059000,187000,2059000,2010,Taunggoo,Phyu,47
