District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Taunggoo,205000,2039000,N205000E2039000,120.1273849,2010,47,227,93,44,2927,327,118,209,241,204,258,184,1375,275,1,92,733,8,363,13
Pyay,697773,2048661,N2048661E697773,234.4118001,2017,46,197,86,43,2948,293,93,200,205,176,227,154,1526,348,3,97,865,12,350,95
Mawlaik,690000,2684000,N2684000E690000,211.9997106,2014,46,238,95,45,2893,337,126,211,250,214,268,194,1405,268,1,90,734,7,396,12
Pyay,685558,2042367,N2042367E685558,16.15948569,2017,46,234,95,45,2904,334,123,211,248,211,265,191,1367,265,1,91,713,7,378,12
Bago,189000,2041000,N2041000E189000,119.7618179,2012,47,247,98,45,2926,348,133,215,257,223,278,203,1304,259,0,90,667,7,378,11
Pyay,697847,2042517,N2042517E697847,295.7217595,2017,46,245,97,44,2967,347,131,216,255,220,276,201,1293,260,0,90,669,6,370,10
Pyay,683484,2044389,N2044389E683484,415.5497959,2017,46,245,97,45,2908,347,132,215,255,221,276,202,1288,260,0,90,668,6,368,10
Pyay,693700,2046564,N2046564E693700,309.1087032,2017,46,216,91,43,2914,314,107,207,224,194,246,173,1391,288,2,93,759,9,348,14
Pyay,695749,2046589,N2046589E695749,325.3174024,2017,46,241,97,45,2960,342,128,214,251,218,272,197,1277,258,0,90,668,7,357,11
Pyay,687556,2046489,N2046489E687556,335.4225142,2017,46,246,98,45,2945,347,132,215,256,221,277,202,1273,260,0,90,663,6,362,10
Pyay,693725,2044516,N2044516E693725,272.1460612,2017,46,246,97,45,2895,347,133,214,256,222,276,202,1281,260,0,90,666,6,365,10
Pyay,695773,2044541,N2044541E695773,344.6847523,2017,46,247,98,45,2928,349,133,216,257,223,278,203,1246,257,0,90,650,6,356,10
Pyay,697798,2046613,N2046613E697798,273.3696645,2017,46,248,99,45,2946,350,133,217,257,223,279,204,1194,250,0,90,628,6,340,10
Bago,807000,2047000,N2047000E807000,94.94142384,2012,46,253,100,45,2974,355,137,218,263,228,284,208,1157,244,0,90,605,6,336,10
Pyay,689604,2046513,N2046513E689604,161.0764995,2017,46,243,98,45,2933,345,130,215,253,220,274,199,1205,250,0,90,636,5,340,10
Pyay,697822,2044565,N2044565E697822,309.6457088,2017,46,244,98,45,2944,346,130,216,254,220,275,200,1210,250,0,90,637,5,343,10
Mawlaik,706000,2684000,N2684000E706000,220.7789252,2014,46,243,98,45,2939,345,129,216,252,219,274,199,1192,246,0,89,628,5,338,10
Bago,809000,2043000,N2043000E809000,101.0610444,2012,46,233,95,44,2929,334,121,213,241,210,264,190,1261,252,1,90,669,7,344,12
Pyay,687581,2044440,N2044440E687581,311.0090374,2017,46,244,98,45,2936,346,130,216,253,220,275,200,1214,250,0,90,638,5,345,10
Pyay,685533,2044414,N2044414E685533,413.4545624,2017,46,244,98,45,2934,346,131,215,254,221,275,200,1255,256,0,90,656,5,357,10
Bago,187000,2043000,N2043000E187000,107.489933,2012,47,243,97,45,2952,345,130,215,253,219,274,199,1263,256,0,90,659,6,358,11
Pyay,687606,2042392,N2042392E687606,134.6882872,2017,46,240,97,45,2917,342,128,214,251,216,271,197,1275,255,0,90,664,6,360,11
Bago,191000,2041000,N2041000E191000,89.09959189,2012,47,237,96,45,2893,338,125,213,246,213,268,194,1300,256,1,90,678,7,363,12
