Forest_type,Plot_id,Species_names,Genus,Species,Family,Dbh_cm,H_m,WD,AGB,C_Tree,BA,Lat,Long,Northing,Easting,Tenure
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,33,25,0.85,1.223648254,0.575114679,0.08552986,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Vitex_peduncularis,Vitex,peduncularis,Verbenaceae,10,15,0.565170667,0.048529681,0.02280895,0.007853982,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Diospyros_burmanica,Diospyros,burmanica,Ebenaceae,9,20,1.095,0.099763091,0.046888653,0.006361725,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Dalbergia_oliveri,Dalbergia,oliveri,Fabaceae,21,20,0.8795,0.421081913,0.197908499,0.034636059,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Pittosporum_napaulensis,Pittosporum,napaulensis,Pittosporaceae,7,15,0.6135,0.026207073,0.012317324,0.003848451,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Diospyros_burmanica,Diospyros,burmanica,Ebenaceae,9,30,1.095,0.148195483,0.069651877,0.006361725,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,11,20,0.85,0.115274098,0.054178826,0.009503318,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,12,20,0.85,0.136613936,0.06420855,0.011309734,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,11,25,0.85,0.143323005,0.067361812,0.009503318,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,12,20,0.85,0.136613936,0.06420855,0.011309734,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Dalbergia_oliveri,Dalbergia,oliveri,Fabaceae,7,15,0.8795,0.037246519,0.017505864,0.003848451,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,7,15,0.85,0.036026691,0.016932545,0.003848451,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_siamensis,Shorea,siamensis,Dipterocarpaceae,21,30,0.86,0.611966939,0.287624461,0.034636059,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,9,20,0.85,0.077913837,0.036619503,0.006361725,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Diospyros_burmanica,Diospyros,burmanica,Ebenaceae,15,35,1.095,0.466899914,0.219442959,0.017671459,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,8,20,0.85,0.061910579,0.029097972,0.005026548,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Vitex_limnifolia,Vitex,limnifolia,Verbenaceae,13,30,0.565170667,0.159305267,0.074873476,0.013273229,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Dalbergia_oliveri,Dalbergia,oliveri,Fabaceae,10,20,0.8795,0.098945153,0.046504222,0.007853982,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,21,20,0.85,0.407291433,0.191426973,0.034636059,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
Dipterocarpus_Forest,1,Shorea_obtusa,Shorea,obtusa,Dipterocarpaceae,8,25,0.85,0.076974883,0.036178195,0.005026548,20.89039122,95.24977623,2311656,734032.0004,Protected_Area
