Local_names,Genus,Species,Species_Code
Kyun,Tectona,grandis,1
Pyinkado,Xylia,dolabriformis,2
Subyu,Acacia,arabica,3
Sha,Acacia,catechu,4
Nan-lon-kyaing,Acacia,farnesiana,5
Tanaung,Acacia,leucophloea,6
Su-magyi,Acacia,myaingii,7
Sha-tanaung,Acacia,macrocephala,8
Ye-tama,Acrocarpus,fraxinifolius,9
Ywe-gyi,Adenanthera,pavonina,10
Hnaw,Adina,cordifolia,11
Okshit,Aegle,marmelos,12
Ye-myaw,Aesculus,assamica,13
Thanat-ka-wa,Aglaia,odoratissima,14
Odein,Ailanthus,triphysa,15
Tabu-ya,Alangium,chinense,16
Bonmeza,Albizzia,chinensis,17
Kokko,Albizzia,lebbek,18
Than-that,Albizzia,lucida,19
Thit-magyi,Albizzia,odoratissima,20
Sit,Albizzia,procera,21
Maibau (Kachin),Alnus,nepalensis,22
Ondon-gyi,Alseodaphne,keenanii,23
Taung-me-ok,Alstonia,scholaris,24
Nantayok,Altingia,excelsa,25
Thawka-gyi,Amherstia,nobilis,26
Myauk-le-seik,Amoora,cucullata,27
Thitni,Amoora,rohituka,28
Aukchinsa-ni,Amoora,wallichii,29
Yon,Anogeissus,acuminata,30
Yon-akauk-chaw,Anogeissus,phillyreaefolia,31
Kaban,Anisoptera,oblonga,32
Kaung-hmu,Anisoptera,scaphula,33
Pan-ma,Anneslea,fragrans,34
Ma-u-lettan-she,Anthocephalus,cadamba,35
Hmyaseik,Antiaris,toxicaria,36
Byisin,Antidesma,ghaesembilla,37
Kinbalin,Antidesma,velutinum,38
Thit-sat,Aporosa,roxburghii,39
Ye-mein,Aporosa,villosa,40
Akyaw,Aquilaria,agallocha,41
Taung-peinne,Artocarpus,calophyla,42
Peinne,Artocarpus,heterophyllus,43
Myauk-lok,Artocarpus,lakoocha,44
Sone-padat,Artocarpus,rigida,45
Thame,Avicennia,officinalis,46
Tama,Azadirachta,indica,47
Kanaso,Baccaurea,sapida,48
Thit-palwe,Balanites,triflora,49
Kyi,Barringtonia,acutangula,50
Swedaw,Bauhinia,acuminata,51
Chinbyit,Bauhinia,malabarica,52
Swedaw-ni,Bauhinia,purpurea,53
Palan,Bauhinia,racemosa,54
Bwegyin,Bauhinia,variegata,55
Shawdu,Beilschmiedia,roxburghiana,56
Pet-wun,Berrya,spp.,57
Cherry-bo,Betula,alnoides,58
Tayok-the,Bischofia,javanica,59
Taw-duyin,Boschia,mansonii,60
Thamon,Boscia,variabilis,61
Mayan,Bouea,burmanica,62
Seikchi,Bridelia,retusa,63
Byu-u-talon,Bruguiera,conjungata,64
Byu,Bruguiera,cylindrica,65
Saung-po,Bruguical,hainesii,66
Byu-kyettet,Bruguiera,parviflora,67
Thayet-thinbaung,Buchanania,lancifolia,68
Lumbo,Buchanania,lanzan,69
Pauk,Butea,monosperma,70
Teinnyet,Caesalpinia,sappan,71
Si-gyi,Callicarpa,macrophylla,72
Daung-sat-pya,Callicarpa,tomentosa,73
Ponnyet,Calophyllum,inophyllum,74
Tharapi,Calophyllum,kunstleri,75
Saga-sein,Cananga,odorata,76
Myauk-laung,Canthium,dicoccum,77
Mani-awga,Carallia,brachiata,78
Bambwe,Careya,arborea,79
Hon-ya-za,Casaeria,graveolens,80
Ngu,Cassia,fistula,81
Ngu-thein,Cassia,nodosa,82
Ngu-sat,Cassia,renigera,83
Mezali,Cassia,siamea,84
Taw-mezali,Cassia,timoriensis,85
Thit-e,Castanopsis,spp.,86
Kabwi,Casuarina,equisetifolia,87
Petsut-yetama,Cedrela,febrifuga,88
Taw-tama,Cedrela,microcarpa,89
Taung-tama,Cedrela,multijuga,90
Thitma-ee,Cedrela,serrata,91
Thitkado,Cedrela,toona,92
Thinbaw-letpan,Ceiba,pentandra,93
Kyauk-tinyu,Cephalotaxus,griffithii,94
Kalwa,Cerbera,manghas,95
Kabaing,Ceriops,roxburghiana,96
Madama-myaw,Ceriops,tagal,97
Yinma,Chukrasia,tabularis,98
Yinma-hmwe-sot,Chukrasia,velutina,99
Kyun-gado,Cinnamomum,granduliferum,100
Hman-thin,Cinnamomum,iners,101
Karawe,Cinnamomum,inunctum,102
Nalingyaw,Cinnamomum,obtusifolium,103
Thit-kyabo,Cinnamomum,tamala,104
Taw-kanako,Cleidion,speciflorum,105
Yaungban,Coccoceras,plicatum,106
Thanat,Cordia,dichotoma,107
Sandawa,Cordia,fragrantissima,108
Hmaik,Cordia,grandis,109
U-byat,Craibiodendron,shanicum,110
Ye-kadet,Crataeva,hygrophila,111
Kadet,Crataeva,religiosa,112
Bebya,Cratoxylon,neriifolium,113
Sa-thange-on-hnauk,Cratoxylon,prunifolium,114
Thetyin-gyi,Croton,oblongifolius,115
Ananbo,Crypteronia,pubescens,116
Myinga,Cynometra,mimosoides,117
Yindaik,Dalbergia,cultrata,118
Yinzat,Dalbergia,fusca,119
Thitpok,Dalbergia,kurzii,120
Tamalan,Dalbergia,oliveri,121
Madama,Dalbergia,ovata,122
Thitsanwin,Dalbergia,paniculata,123
Kala-padauk,Dalbergia,sissoo,124
Kyese-satna,Dehaasia,cuneata,125
Kyese-kyi-chi,Dehaasia,kurzii,126
Seinban,Delonix,regia,127
Pok-thin-ma-myet-kauk,Derris,robusta,128
Taung-kaye,Dialum,indum,129
Sit-byu,Dichrostachys,cinera,130
Byu,Dillenia,aurea,131
Thabyu,Dillenia,indica,132
Wet-zinbyun,Dillenia,parkinsonii,133
Zinbyun,Dillenia,pentagyna,134
Linyaw,Dillenia,parviflora,135
Te,Diospyros,burmanica,136
Aukchinsa,Diospyros,ehretioides,137
Gyok,Diospyros,montana,138
Yengan-bok,Diospros,peregrina,139
Inbo,Dipterocarpus,obtusifolius,140
In,Dipterocarpus,tuberculatus,141
Kanyin,Dipterocarpus,spp.,142
Hmaing,Dodonaea,viscosa,143
Thakut,Dolichandrone,serrulata,144
Hingut,Dolichandrone,spathacea,145
Nga-bauk,Dracontomelum,mangiferum,146
Taung-thitsi,Drimycarpus,racemosus,147
Myauk-ngo,Duabanga,grandiflora,148
Duyin,Durio,zibethinus,149
Kalaung-ni,Dysoxylum,binectariferum,150
Tagat-ni,Dysoxylum,grande,151
Pet-thin,Ehretia,acuminata,152
Thitpwe,Elaeocarpus,floribundus,153
Budalet,Elaeocarpus,lanceaefolius,154
Kaya-hmwe,Elaeocarpus,robustus,155
Waso,Elaeocarpus,wallichii,156
Zibyu,Emblica,officinalis,157
Pan-swele,Engelhardia,spicata,158
Petsut,Eriobotrya,bengalensis,159
Dwani/Swani,Eriolaena,candollei,160
Taung-gwe,Eriolobus,indica,161
Ye-kathit,Erythrina,lithosperma,162
Taung-kathit,Erythrina,stricta,163
Kathit,Erythrina,suberosa,164
Pinle-kathit,Erythrina,variegata,165
Thabye,Eugenia,spp.,166
Taung-lapet,Eurya,japonica,167
Kin-thabutgyi,Evoda,meliaefolia,168
Thayaw,Excoecaria,agallocha,169
Anan,Fagraea,fragrans,170
Thi,Feronia,elephantum,171
Nyaung,Ficus,spp.,172
Thadut,Ficus,cunia,173
Nyaung-kyetpaung,Ficus,elastica,174
Thapan,Ficus,glomerata,175
Ka-aung,Ficus,hispida,176
Sin-thapan,Ficus,roxburghii,177
Wetshaw,Firmiana,colorata,178
Naywe,Flacourtia,cataphracta,179
Taung-thale,Garcinia,cowa,180
Taw-mingut,Garcinia,heterandra,181
Metlin,Garcinia,paniculata,182
Parawa,Garcinia,speciosa,183
Madaw,Garcinia,xanthochymus,184
Yingat-gyi,Gardenia,coronaria,185
Hmanni,Gardenia,erythroclada,186
Thamin-za-ni,Gardenia,turgida,187
Yingat-gale,Gardenia,obtusifolia,188
Thamin-za-byu,Gardenia,sessiliflora,189
Chinyok,Garuga,pinnata,190
Akyawsi-bin,Gaultheria,fragrantissima,191
Laymin-bin,Gelonium,multiflorus,192
