system:index,District,Districts,EAST,NORTH,New_Carbon,Old_Carbon,Plot_names,Year,Zone,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,.geo
00000000000000001282,Taunggoo,Taunggoo,796000.0,2149000,5.28944051340506,57.62537814,N796000E2149000,2010,46,215.0,110.0,46.0,3332.0,314.0,75.0,239.0,237.0,181.0,246.0,163.0,1480.0,254.0,2.0,82.0,690.0,16.0,494.0,23.0,"{""type"":""Point"",""coordinates"":[96.43711671500665,21.787435293199767]}"
00000000000000001283,Taunggoo,Taunggoo,796000.0,2151000,5.14077813151434,55.30852609,N796000E2151000,2010,46,222.0,112.0,46.0,3345.0,324.0,82.0,242.0,246.0,187.0,254.0,171.0,1461.0,262.0,2.0,82.0,701.0,16.0,485.0,22.0,"{""type"":""Point"",""coordinates"":[96.66911036551429,21.790877719213025]}"
00000000000000001284,Taunggoo,Taunggoo,796000.0,2153000,5.88621059513419,64.60880115,N796000E2153000,2010,46,202.0,110.0,46.0,3311.0,299.0,61.0,238.0,226.0,166.0,232.0,150.0,1659.0,297.0,3.0,82.0,800.0,20.0,552.0,26.0,"{""type"":""Point"",""coordinates"":[96.63041874567355,21.790347086187666]}"
0000000000000000128b,Taunggoo,Taunggoo,798000.0,2121000,3.71272152105809,43.01797961,N798000E2121000,2010,46,210.0,112.0,46.0,3328.0,309.0,69.0,240.0,235.0,174.0,241.0,159.0,1607.0,294.0,2.0,83.0,791.0,18.0,533.0,24.0,"{""type"":""Point"",""coordinates"":[96.74627956834522,21.800964205795918]}"
0000000000000000128c,Taunggoo,Taunggoo,798000.0,2123000,5.30387642517546,60.10568351,N798000E2123000,2010,46,239.0,111.0,45.0,3425.0,343.0,99.0,244.0,255.0,205.0,272.0,186.0,1193.0,218.0,2.0,83.0,567.0,11.0,400.0,18.0,"{""type"":""Point"",""coordinates"":[96.31132547428896,21.79446283646]}"
0000000000000000128d,Taunggoo,Taunggoo,798000.0,2125000,4.08096376111912,47.73935134,N798000E2125000,2010,46,200.0,111.0,46.0,3272.0,299.0,60.0,239.0,225.0,165.0,230.0,150.0,1688.0,305.0,3.0,82.0,828.0,20.0,561.0,26.0,"{""type"":""Point"",""coordinates"":[96.68824882723568,21.800170485808408]}"
0000000000000000128e,Taunggoo,Taunggoo,798000.0,2143000,11.9215971320565,128.2311798,N798000E2143000,2010,46,209.0,111.0,46.0,3335.0,308.0,68.0,240.0,233.0,173.0,240.0,157.0,1593.0,286.0,2.0,82.0,767.0,18.0,531.0,25.0,"{""type"":""Point"",""coordinates"":[96.66878931023845,21.808914782974217]}"
0000000000000000128f,Taunggoo,Taunggoo,798000.0,2145000,8.82637030404514,92.1996003,N798000E2145000,2010,46,228.0,113.0,46.0,3398.0,330.0,87.0,243.0,252.0,192.0,260.0,175.0,1416.0,258.0,2.0,82.0,686.0,16.0,468.0,22.0,"{""type"":""Point"",""coordinates"":[96.78473039672909,21.810511141151352]}"
00000000000000001290,Taunggoo,Taunggoo,798000.0,2147000,9.38986840982762,93.37415561,N798000E2147000,2010,46,217.0,110.0,46.0,3355.0,317.0,78.0,239.0,234.0,184.0,249.0,165.0,1434.0,250.0,2.0,82.0,672.0,14.0,479.0,21.0,"{""type"":""Point"",""coordinates"":[96.34014910349843,21.803956262602785]}"
00000000000000001291,Taunggoo,Taunggoo,798000.0,2149000,8.79055725477587,90.3811612,N798000E2149000,2010,46,222.0,111.0,45.0,3371.0,324.0,82.0,242.0,245.0,188.0,255.0,170.0,1411.0,243.0,2.0,82.0,661.0,14.0,471.0,21.0,"{""type"":""Point"",""coordinates"":[96.45612586279753,21.8057844940347]}"
00000000000000001292,Taunggoo,Taunggoo,798000.0,2151000,9.23185816619648,96.32787701,N798000E2151000,2010,46,254.0,112.0,45.0,3505.0,361.0,114.0,247.0,271.0,220.0,289.0,201.0,1043.0,184.0,2.0,81.0,487.0,12.0,351.0,16.0,"{""type"":""Point"",""coordinates"":[96.47545606586418,21.80608325380528]}"
00000000000000001298,Taunggoo,Taunggoo,800000.0,2083000,1.48879269418478,19.85532681,N800000E2083000,2010,46,250.0,113.0,45.0,3482.0,357.0,109.0,248.0,272.0,215.0,285.0,197.0,1120.0,191.0,2.0,80.0,522.0,13.0,374.0,18.0,"{""type"":""Point"",""coordinates"":[96.61124461114373,21.808491168374136]}"
00000000000000001299,Taunggoo,Taunggoo,800000.0,2105000,16.3491010580456,166.9075075,N800000E2105000,2010,46,224.0,111.0,46.0,3363.0,326.0,85.0,241.0,247.0,190.0,257.0,172.0,1393.0,242.0,2.0,82.0,651.0,14.0,465.0,21.0,"{""type"":""Point"",""coordinates"":[96.43655486827393,21.819023565062373]}"
0000000000000000129a,Taunggoo,Taunggoo,800000.0,2107000,8.39826896303867,82.25273288,N800000E2107000,2010,46,227.0,112.0,45.0,3406.0,329.0,85.0,244.0,250.0,190.0,259.0,174.0,1404.0,250.0,2.0,81.0,670.0,16.0,466.0,22.0,"{""type"":""Point"",""coordinates"":[96.66854405968051,21.82696076493751]}"
0000000000000000129b,Taunggoo,Taunggoo,800000.0,2115000,10.2248862670508,95.87946156,N800000E2115000,2010,46,237.0,114.0,46.0,3479.0,342.0,95.0,247.0,261.0,200.0,270.0,183.0,1308.0,236.0,2.0,81.0,630.0,14.0,433.0,20.0,"{""type"":""Point"",""coordinates"":[96.78449406437328,21.8285615822157]}"
0000000000000000129c,Taunggoo,Taunggoo,800000.0,2119000,10.7045465874777,105.0650113,N800000E2119000,2010,46,214.0,111.0,46.0,3329.0,314.0,73.0,241.0,237.0,178.0,245.0,162.0,1536.0,274.0,2.0,81.0,732.0,17.0,513.0,23.0,"{""type"":""Point"",""coordinates"":[96.64919156110855,21.82669767797536]}"
0000000000000000129d,Taunggoo,Taunggoo,800000.0,2121000,8.46632379435167,90.46537532,N800000E2121000,2010,46,221.0,112.0,46.0,3378.0,322.0,80.0,242.0,245.0,185.0,253.0,169.0,1470.0,264.0,2.0,82.0,705.0,16.0,488.0,23.0,"{""type"":""Point"",""coordinates"":[96.68776724432192,21.82724168830388]}"
0000000000000000129e,Taunggoo,Taunggoo,800000.0,2123000,16.2189631917474,127.7740634,N800000E2123000,2010,46,213.0,110.0,46.0,3363.0,312.0,73.0,239.0,231.0,178.0,244.0,160.0,1473.0,252.0,2.0,82.0,685.0,16.0,493.0,23.0,"{""type"":""Point"",""coordinates"":[96.36881220506999,21.822470450176695]}"
0000000000000000129f,Taunggoo,Taunggoo,800000.0,2125000,2.31826016861976,27.18828687,N800000E2125000,2010,46,213.0,110.0,46.0,3323.0,312.0,73.0,239.0,236.0,179.0,244.0,161.0,1483.0,253.0,2.0,82.0,687.0,16.0,497.0,23.0,"{""type"":""Point"",""coordinates"":[96.41713994228724,21.823232956456827]}"
000000000000000012a0,Taunggoo,Taunggoo,800000.0,2127000,2.99937402387407,35.68738804,N800000E2127000,2010,46,224.0,111.0,46.0,3363.0,326.0,85.0,241.0,247.0,190.0,257.0,172.0,1393.0,242.0,2.0,82.0,651.0,14.0,465.0,21.0,"{""type"":""Point"",""coordinates"":[96.43647460445497,21.823536175328467]}"
000000000000000012a1,Taunggoo,Taunggoo,800000.0,2141000,18.7975607404853,180.1917721,N800000E2141000,2010,46,221.0,111.0,46.0,3352.0,322.0,81.0,241.0,244.0,186.0,253.0,169.0,1434.0,249.0,2.0,82.0,674.0,15.0,479.0,22.0,"{""type"":""Point"",""coordinates"":[96.51380433492382,21.824722296208687]}"
000000000000000012a2,Taunggoo,Taunggoo,800000.0,2143000,8.8456318659436,99.11855909,N800000E2143000,2010,46,217.0,111.0,46.0,3370.0,317.0,76.0,241.0,240.0,182.0,248.0,164.0,1482.0,259.0,2.0,82.0,698.0,16.0,495.0,23.0,"{""type"":""Point"",""coordinates"":[96.54280632817543,21.825154829010867]}"
000000000000000012a3,Taunggoo,Taunggoo,800000.0,2145000,10.5065312483254,101.12216599999999,N800000E2145000,2010,46,223.0,111.0,46.0,3355.0,324.0,83.0,241.0,246.0,188.0,255.0,171.0,1419.0,248.0,2.0,82.0,669.0,15.0,474.0,22.0,"{""type"":""Point"",""coordinates"":[96.5524736592593,21.82529752024458]}"
000000000000000012a4,Taunggoo,Taunggoo,800000.0,2147000,10.1630359659618,96.90746447,N800000E2147000,2010,46,237.0,112.0,45.0,3452.0,341.0,95.0,246.0,260.0,201.0,270.0,183.0,1268.0,219.0,2.0,82.0,596.0,14.0,422.0,20.0,"{""type"":""Point"",""coordinates"":[96.57180832142706,21.825582902711993]}"
000000000000000012a5,Taunggoo,Taunggoo,800000.0,2149000,7.0616513798338,74.53094385,N800000E2149000,2010,46,223.0,112.0,46.0,3396.0,325.0,82.0,243.0,247.0,187.0,255.0,171.0,1442.0,257.0,2.0,82.0,688.0,16.0,480.0,22.0,"{""type"":""Point"",""coordinates"":[96.65881876028294,21.82684036920907]}"
000000000000000012a6,Taunggoo,Taunggoo,800000.0,2151000,5.74504288215361,61.47630636,N800000E2151000,2010,46,225.0,113.0,46.0,3377.0,327.0,83.0,244.0,249.0,188.0,257.0,172.0,1455.0,266.0,2.0,82.0,708.0,16.0,481.0,22.0,"{""type"":""Point"",""coordinates"":[96.80384210384415,21.82884696468312]}"
000000000000000012b3,Taunggoo,Taunggoo,802000.0,2081000,14.3485474146805,132.8687361,N802000E2081000,2010,46,184.0,110.0,46.0,3246.0,280.0,44.0,236.0,210.0,148.0,214.0,134.0,1886.0,350.0,3.0,84.0,978.0,22.0,620.0,28.0,"{""type"":""Point"",""coordinates"":[96.84224388211645,21.847441416075988]}"
000000000000000012b4,Taunggoo,Taunggoo,802000.0,2085000,7.05874605336714,71.20017456,N802000E2085000,2010,46,256.0,112.0,44.0,3547.0,364.0,115.0,249.0,273.0,221.0,291.0,202.0,1021.0,179.0,2.0,80.0,476.0,11.0,345.0,16.0,"{""type"":""Point"",""coordinates"":[96.48432967696057,21.851356506800915]}"
000000000000000012b5,Taunggoo,Taunggoo,802000.0,2091000,0.367935181904268,4.440564524,N802000E2091000,2010,46,234.0,112.0,45.0,3441.0,337.0,92.0,245.0,256.0,198.0,267.0,180.0,1303.0,226.0,2.0,82.0,613.0,14.0,434.0,20.0,"{""type"":""Point"",""coordinates"":[96.5713534931196,21.85266302340957]}"
000000000000000012b6,Taunggoo,Taunggoo,802000.0,2093000,8.55511520459843,83.95127306,N802000E2093000,2010,46,250.0,113.0,45.0,3498.0,356.0,109.0,247.0,273.0,215.0,285.0,197.0,1115.0,190.0,2.0,81.0,519.0,13.0,373.0,18.0,"{""type"":""Point"",""coordinates"":[96.60035994547226,21.853091097110706]}"
000000000000000012b7,Taunggoo,Taunggoo,802000.0,2097000,4.41812490425355,39.31290336,N802000E2097000,2010,46,228.0,112.0,46.0,3395.0,331.0,88.0,243.0,252.0,193.0,261.0,176.0,1380.0,245.0,2.0,81.0,657.0,15.0,459.0,22.0,"{""type"":""Point"",""coordinates"":[96.65838622748078,21.85395170361402]}"
000000000000000012b8,Taunggoo,Taunggoo,802000.0,2099000,9.76629723805949,98.66162555,N802000E2099000,2010,46,187.0,111.0,46.0,3260.0,284.0,47.0,237.0,213.0,151.0,217.0,137.0,1850.0,342.0,3.0,83.0,952.0,22.0,611.0,28.0,"{""type"":""Point"",""coordinates"":[96.84196741785112,21.86545172523086]}"
000000000000000012b9,Taunggoo,Taunggoo,802000.0,2101000,4.02640592364681,37.99908207,N802000E2101000,2010,46,206.0,110.0,46.0,3324.0,304.0,66.0,238.0,225.0,172.0,237.0,155.0,1517.0,255.0,3.0,81.0,699.0,18.0,511.0,26.0,"{""type"":""Point"",""coordinates"":[96.39715425136568,21.859030619713895]}"
000000000000000012ba,Taunggoo,Taunggoo,802000.0,2103000,17.9167082129531,203.1751815,N802000E2103000,2010,46,218.0,111.0,46.0,3379.0,318.0,77.0,241.0,241.0,183.0,250.0,165.0,1449.0,248.0,2.0,82.0,673.0,15.0,485.0,23.0,"{""type"":""Point"",""coordinates"":[96.43582803480221,21.859637057457164]}"
000000000000000012bb,Taunggoo,Taunggoo,802000.0,2105000,2.17179804475697,26.62532215,N802000E2105000,2010,46,221.0,113.0,46.0,3372.0,322.0,79.0,243.0,246.0,184.0,253.0,169.0,1490.0,273.0,2.0,82.0,730.0,16.0,494.0,23.0,"{""type"":""Point"",""coordinates"":[96.82263275568337,21.865215392875026]}"
000000000000000012bc,Taunggoo,Taunggoo,802000.0,2107000,6.1976019281142,65.82912612,N802000E2107000,2010,46,212.0,110.0,46.0,3377.0,311.0,72.0,239.0,230.0,177.0,244.0,160.0,1470.0,253.0,2.0,82.0,685.0,16.0,494.0,23.0,"{""type"":""Point"",""coordinates"":[96.35815049445121,21.87646570483287]}"
000000000000000012bd,Taunggoo,Taunggoo,802000.0,2109000,5.3108523350289,71.95970371,N802000E2109000,2010,46,205.0,110.0,46.0,3307.0,303.0,66.0,237.0,224.0,171.0,236.0,154.0,1519.0,255.0,3.0,81.0,701.0,18.0,512.0,26.0,"{""type"":""Point"",""coordinates"":[96.37748961572001,21.87677784190661]}"
000000000000000012be,Taunggoo,Taunggoo,802000.0,2111000,5.90374330177599,61.27436891,N802000E2111000,2010,46,251.0,112.0,45.0,3538.0,358.0,110.0,248.0,268.0,216.0,286.0,197.0,1076.0,188.0,2.0,81.0,501.0,12.0,363.0,16.0,"{""type"":""Point"",""coordinates"":[96.49352880243381,21.878583777833256]}"
000000000000000012bf,Taunggoo,Taunggoo,802000.0,2113000,14.9139217589422,144.2453597,N802000E2113000,2010,46,215.0,111.0,46.0,3399.0,315.0,74.0,241.0,239.0,180.0,247.0,162.0,1480.0,255.0,2.0,81.0,689.0,16.0,498.0,23.0,"{""type"":""Point"",""coordinates"":[96.51286792370261,21.87887807850278]}"
000000000000000012c0,Taunggoo,Taunggoo,802000.0,2115000,8.35215324004094,83.53264465,N802000E2115000,2010,46,228.0,112.0,46.0,3427.0,330.0,87.0,243.0,252.0,192.0,261.0,175.0,1376.0,242.0,2.0,82.0,651.0,15.0,459.0,22.0,"{""type"":""Point"",""coordinates"":[96.60957690734975,21.88030944994094]}"
000000000000000012c1,Taunggoo,Taunggoo,802000.0,2117000,9.87914211395162,96.3999745,N802000E2117000,2010,46,252.0,113.0,45.0,3522.0,359.0,111.0,248.0,276.0,216.0,287.0,198.0,1096.0,188.0,2.0,80.0,511.0,13.0,367.0,18.0,"{""type"":""Point"",""coordinates"":[96.6289204877196,21.880590373307307]}"
000000000000000012c2,Taunggoo,Taunggoo,802000.0,2119000,11.4736759712602,102.9916679,N802000E2119000,2010,46,240.0,114.0,45.0,3492.0,346.0,98.0,248.0,264.0,204.0,275.0,187.0,1260.0,227.0,2.0,81.0,605.0,14.0,417.0,20.0,"{""type"":""Point"",""coordinates"":[96.783637916971,21.88274411911612]}"
000000000000000012c3,Taunggoo,Taunggoo,802000.0,2121000,11.9242393672906,127.8136821,N802000E2121000,2010,46,222.0,113.0,46.0,3398.0,324.0,80.0,244.0,248.0,185.0,255.0,170.0,1465.0,267.0,2.0,82.0,712.0,16.0,487.0,22.0,"{""type"":""Point"",""coordinates"":[96.80301271104821,21.883033960684593]}"
000000000000000012c4,Taunggoo,Taunggoo,802000.0,2123000,13.5579526277797,131.074829,N802000E2123000,2010,46,234.0,113.0,45.0,3468.0,337.0,91.0,246.0,257.0,196.0,267.0,180.0,1330.0,239.0,2.0,81.0,637.0,15.0,442.0,21.0,"{""type"":""Point"",""coordinates"":[96.7640981361548,21.90052255501621]}"
000000000000000012c5,Taunggoo,Taunggoo,802000.0,2125000,4.12467543160006,48.4985262,N802000E2125000,2010,46,201.0,109.0,45.0,3320.0,298.0,61.0,237.0,220.0,167.0,232.0,149.0,1542.0,256.0,3.0,80.0,708.0,19.0,522.0,26.0,"{""type"":""Point"",""coordinates"":[96.39649876351083,21.895135960943648]}"
000000000000000012c6,Taunggoo,Taunggoo,802000.0,2127000,5.99646644472439,66.45765164,N802000E2127000,2010,46,237.0,112.0,45.0,3460.0,342.0,96.0,246.0,260.0,202.0,271.0,184.0,1249.0,217.0,2.0,82.0,582.0,13.0,419.0,19.0,"{""type"":""Point"",""coordinates"":[96.49321220625902,21.896634218897603]}"
000000000000000012c7,Taunggoo,Taunggoo,802000.0,2129000,3.77948754931138,42.28286877,N802000E2129000,2010,46,194.0,111.0,46.0,3289.0,291.0,53.0,238.0,220.0,158.0,225.0,144.0,1757.0,321.0,3.0,82.0,885.0,21.0,585.0,27.0,"{""type"":""Point"",""coordinates"":[96.82207090895066,21.901334111407937]}"
000000000000000012c8,Taunggoo,Taunggoo,802000.0,2131000,12.6678565705595,131.2436756,N802000E2131000,2010,46,201.0,110.0,46.0,3318.0,298.0,60.0,238.0,220.0,166.0,232.0,149.0,1547.0,257.0,3.0,80.0,708.0,19.0,525.0,26.0,"{""type"":""Point"",""coordinates"":[96.42534914732666,21.904616009783272]}"
000000000000000012c9,Taunggoo,Taunggoo,802000.0,2133000,10.3853693824288,112.4705582,N802000E2133000,2010,46,200.0,110.0,46.0,3303.0,296.0,58.0,238.0,219.0,165.0,230.0,148.0,1564.0,260.0,3.0,79.0,712.0,20.0,531.0,28.0,"{""type"":""Point"",""coordinates"":[96.4543645178814,21.905066378989677]}"
000000000000000012ca,Taunggoo,Taunggoo,802000.0,2135000,10.3785652732902,112.8273912,N802000E2135000,2010,46,236.0,113.0,45.0,3491.0,340.0,93.0,247.0,260.0,199.0,269.0,182.0,1295.0,230.0,2.0,81.0,616.0,14.0,432.0,20.0,"{""type"":""Point"",""coordinates"":[96.71553852568277,21.908901205895635]}"
000000000000000012cb,Taunggoo,Taunggoo,802000.0,2137000,9.3980319653388,104.558807,N802000E2137000,2010,46,199.0,111.0,46.0,3290.0,297.0,58.0,239.0,225.0,163.0,229.0,149.0,1696.0,308.0,3.0,82.0,842.0,21.0,566.0,27.0,"{""type"":""Point"",""coordinates"":[96.8025266690334,21.919099170004863]}"
