"","Plot_names","EAST","NORTH","Year","District","Township"
"1","N181974E1971996",1971996,181974,2011,"Thayarwaddy","Tharrawaddy"
"2","N182002E1970008",1970008,182002,2011,"Thayarwaddy","Tharrawaddy"
"3","N182004E1962006",1962006,182004,2011,"Thayarwaddy","Tharrawaddy"
"4","N182009E1964004",1964004,182009,2011,"Thayarwaddy","Tharrawaddy"
"5","N182232E1974110",1974110,182232,2011,"Thayarwaddy","Tharrawaddy"
"6","N182246E1977268",1977268,182246,2011,"Thayarwaddy","Tharrawaddy"
"7","N183934E1999962",1999962,183934,2011,"Thayarwaddy","Letpadan"
"8","N183938E2028020",2028020,183938,2011,"Thayarwaddy","Gyobingauk"
"9","N183948E2022059",2022059,183948,2011,"Thayarwaddy","Okpo"
"10","N183955E1988182",1988182,183955,2011,"Thayarwaddy","Letpadan"
"11","N183982E2003977",2003977,183982,2011,"Thayarwaddy","Letpadan"
"12","N183982E2020114",2020114,183982,2011,"Thayarwaddy","Okpo"
"13","N183985E2006008",2006008,183985,2011,"Thayarwaddy","Okpo"
"14","N183987E2025978",2025978,183987,2011,"Thayarwaddy","Gyobingauk"
"15","N183994E1975992",1975992,183994,2011,"Thayarwaddy","Tharrawaddy"
"16","N183994E1981998",1981998,183994,2011,"Thayarwaddy","Tharrawaddy"
"17","N183996E1993975",1993975,183996,2011,"Thayarwaddy","Letpadan"
"18","N183996E2001978",2001978,183996,2011,"Thayarwaddy","Letpadan"
"19","N183997E1992172",1992172,183997,2011,"Thayarwaddy","Letpadan"
"20","N183998E1984004",1984004,183998,2011,"Thayarwaddy","Letpadan"
"21","N183998E1998020",1998020,183998,2011,"Thayarwaddy","Letpadan"
"22","N184000E2010001",2010001,184000,2011,"Thayarwaddy","Okpo"
"23","N184000E2011998",2011998,184000,2011,"Thayarwaddy","Okpo"
"24","N184003E1971985",1971985,184003,2011,"Thayarwaddy","Tharrawaddy"
"25","N184006E2023961",2023961,184006,2011,"Thayarwaddy","Gyobingauk"
"26","N184008E1985981",1985981,184008,2011,"Thayarwaddy","Letpadan"
"27","N184010E1967997",1967997,184010,2011,"Thayarwaddy","Tharrawaddy"
"28","N184011E1990118",1990118,184011,2011,"Thayarwaddy","Letpadan"
"29","N184014E1969991",1969991,184014,2011,"Thayarwaddy","Tharrawaddy"
"30","N184014E1979998",1979998,184014,2011,"Thayarwaddy","Tharrawaddy"
"31","N184017E1974020",1974020,184017,2011,"Thayarwaddy","Tharrawaddy"
"32","N184023E1996010",1996010,184023,2011,"Thayarwaddy","Letpadan"
"33","N184024E1978019",1978019,184024,2011,"Thayarwaddy","Tharrawaddy"
"34","N184034E2016060",2016060,184034,2011,"Thayarwaddy","Okpo"
"35","N184041E2030113",2030113,184041,2011,"Thayarwaddy","Gyobingauk"
"36","N184042E2018076",2018076,184042,2011,"Thayarwaddy","Okpo"
"37","N184043E2008087",2008087,184043,2011,"Thayarwaddy","Okpo"
"38","N184098E2014108",2014108,184098,2011,"Thayarwaddy","Okpo"
"39","N185000E2043000",2043000,185000,2010,"Taunggoo","Phyu"
"40","N185000E2045000",2045000,185000,2010,"Taunggoo","Phyu"
"41","N185000E2047000",2047000,185000,2010,"Taunggoo","Phyu"
"42","N185000E2049000",2049000,185000,2010,"Taunggoo","Phyu"
"43","N185000E2051000",2051000,185000,2010,"Taunggoo","Phyu"
"44","N185000E2053000",2053000,185000,2010,"Taunggoo","Phyu"
"45","N185000E2055000",2055000,185000,2010,"Taunggoo","Phyu"
"46","N185000E2057000",2057000,185000,2010,"Taunggoo","Phyu"
"47","N185000E2059000",2059000,185000,2010,"Taunggoo","Phyu"
"48","N185000E2061000",2061000,185000,2010,"Taunggoo","Phyu"
"49","N185000E2063000",2063000,185000,2010,"Taunggoo","Phyu"
"50","N185000E2065000",2065000,185000,2010,"Taunggoo","Phyu"
"51","N185000E2067000",2067000,185000,2010,"Taunggoo","Phyu"
"52","N185000E2069000",2069000,185000,2010,"Taunggoo","Phyu"
"53","N185000E2071000",2071000,185000,2010,"Taunggoo","Phyu"
"54","N185000E2073000",2073000,185000,2010,"Taunggoo","Phyu"
"55","N185000E2075000",2075000,185000,2010,"Taunggoo","Oktwin"
"56","N185000E2077000",2077000,185000,2010,"Taunggoo","Oktwin"
"57","N185000E2079000",2079000,185000,2010,"Taunggoo","Oktwin"
"58","N185000E2081000",2081000,185000,2010,"Taunggoo","Oktwin"
"59","N185000E2083000",2083000,185000,2010,"Taunggoo","Oktwin"
"60","N185000E2085000",2085000,185000,2010,"Taunggoo","Oktwin"
"61","N185000E2087000",2087000,185000,2010,"Taunggoo","Oktwin"
"62","N185000E2089000",2089000,185000,2010,"Taunggoo","Oktwin"
"63","N185000E2091000",2091000,185000,2010,"Taunggoo","Oktwin"
"64","N185000E2093000",2093000,185000,2010,"Taunggoo","Taunggoo"
"65","N185000E2095000",2095000,185000,2010,"Taunggoo","Taunggoo"
"66","N185000E2101000",2101000,185000,2010,"Taunggoo","Taunggoo"
"67","N185000E2103000",2103000,185000,2010,"Taunggoo","Taunggoo"
"68","N185000E2105000",2105000,185000,2010,"Taunggoo","Taunggoo"
"69","N185000E2107000",2107000,185000,2010,"Taunggoo","Taunggoo"
"70","N185000E2109000",2109000,185000,2010,"Taunggoo","Taunggoo"
"71","N185000E2111000",2111000,185000,2010,"Taunggoo","Yedashe"
"72","N185000E2113000",2113000,185000,2010,"Taunggoo","Yedashe"
"73","N185000E2115000",2115000,185000,2010,"Taunggoo","Yedashe"
"74","N185000E2117000",2117000,185000,2010,"Taunggoo","Yedashe"
"75","N185000E2119000",2119000,185000,2010,"Taunggoo","Yedashe"
"76","N185000E2121000",2121000,185000,2010,"Taunggoo","Yedashe"
"77","N185000E2123000",2123000,185000,2010,"Taunggoo","Yedashe"
"78","N185000E2125000",2125000,185000,2010,"Taunggoo","Yedashe"
"79","N185000E2131000",2131000,185000,2010,"Taunggoo","Yedashe"
"80","N185000E2133000",2133000,185000,2010,"Taunggoo","Yedashe"
"81","N185000E2135000",2135000,185000,2010,"Taunggoo","Yedashe"
"82","N185000E2137000",2137000,185000,2010,"Taunggoo","Yedashe"
"83","N185000E2139000",2139000,185000,2010,"Taunggoo","Yedashe"
"84","N185000E2141000",2141000,185000,2010,"Taunggoo","Yedashe"
"85","N185000E2197000",2197000,185000,2010,"Taunggoo","Taunggoo"
"86","N185000E2199000",2199000,185000,2010,"Taunggoo","Taunggoo"
"87","N185590E1983682",1983682,185590,2011,"Thayarwaddy","Letpadan"
"88","N185877E1985989",1985989,185877,2011,"Thayarwaddy","Letpadan"
"89","N185901E2024018",2024018,185901,2011,"Thayarwaddy","Gyobingauk"
"90","N185935E2004972",2004972,185935,2011,"Thayarwaddy","Okpo"
"91","N185974E1981998",1981998,185974,2011,"Thayarwaddy","Tharrawaddy"
"92","N185985E2004018",2004018,185985,2011,"Thayarwaddy","Letpadan"
"93","N185986E2008025",2008025,185986,2011,"Thayarwaddy","Okpo"
"94","N185993E1969997",1969997,185993,2011,"Thayarwaddy","Tharrawaddy"
"95","N185997E1992005",1992005,185997,2011,"Thayarwaddy","Letpadan"
"96","N185998E1971974",1971974,185998,2011,"Thayarwaddy","Tharrawaddy"
"97","N185999E2009998",2009998,185999,2011,"Thayarwaddy","Okpo"
"98","N186000E1990000",1990000,186000,2011,"Thayarwaddy","Letpadan"
"99","N186000E2026000",2026000,186000,2011,"Thayarwaddy","Gyobingauk"
"100","N186004E1997982",1997982,186004,2011,"Thayarwaddy","Letpadan"
"101","N186009E1996014",1996014,186009,2011,"Thayarwaddy","Letpadan"
"102","N186013E1992005",1992005,186013,2011,"Thayarwaddy","Letpadan"
"103","N186016E1976014",1976014,186016,2011,"Thayarwaddy","Tharrawaddy"
"104","N186016E2001992",2001992,186016,2011,"Thayarwaddy","Letpadan"
"105","N186021E1973991",1973991,186021,2011,"Thayarwaddy","Tharrawaddy"
"106","N186022E2000141",2000141,186022,2011,"Thayarwaddy","Letpadan"
"107","N186024E1993992",1993992,186024,2011,"Thayarwaddy","Letpadan"
"108","N186027E2006092",2006092,186027,2011,"Thayarwaddy","Okpo"
"109","N186064E2020093",2020093,186064,2011,"Thayarwaddy","Okpo"
"110","N186102E2016032",2016032,186102,2011,"Thayarwaddy","Okpo"
"111","N186107E2017908",2017908,186107,2011,"Thayarwaddy","Okpo"
"112","N186236E1979838",1979838,186236,2011,"Thayarwaddy","Tharrawaddy"
"113","N186253E1978042",1978042,186253,2011,"Thayarwaddy","Tharrawaddy"
"114","N186259E2012379",2012379,186259,2011,"Thayarwaddy","Okpo"
"115","N186994E2131004",2131004,186994,2010,"Taunggoo","Yedashe"
"116","N187000E2045000",2045000,187000,2010,"Taunggoo","Phyu"
"117","N187000E2047000",2047000,187000,2010,"Taunggoo","Phyu"
"118","N187000E2049000",2049000,187000,2010,"Taunggoo","Phyu"
"119","N187000E2051000",2051000,187000,2010,"Taunggoo","Phyu"
"120","N187000E2055000",2055000,187000,2010,"Taunggoo","Phyu"
"121","N187000E2057000",2057000,187000,2010,"Taunggoo","Phyu"
"122","N187000E2058000",2058000,187000,2010,"Taunggoo","Phyu"
"123","N187000E2059000",2059000,187000,2010,"Taunggoo","Phyu"
"124","N187000E2061000",2061000,187000,2010,"Taunggoo","Phyu"
"125","N187000E2063000",2063000,187000,2010,"Taunggoo","Phyu"
"126","N187000E2065000",2065000,187000,2010,"Taunggoo","Phyu"
"127","N187000E2067000",2067000,187000,2010,"Taunggoo","Phyu"
"128","N187000E2069000",2069000,187000,2010,"Taunggoo","Phyu"
"129","N187000E2071000",2071000,187000,2010,"Taunggoo","Phyu"
"130","N187000E2073000",2073000,187000,2010,"Taunggoo","Oktwin"
"131","N187000E2075000",2075000,187000,2010,"Taunggoo","Oktwin"
"132","N187000E2077000",2077000,187000,2010,"Taunggoo","Oktwin"
"133","N187000E2079000",2079000,187000,2010,"Taunggoo","Oktwin"
"134","N187000E2081000",2081000,187000,2010,"Taunggoo","Oktwin"
"135","N187000E2083000",2083000,187000,2010,"Taunggoo","Oktwin"
"136","N187000E2087000",2087000,187000,2010,"Taunggoo","Oktwin"
"137","N187000E2089000",2089000,187000,2010,"Taunggoo","Oktwin"
"138","N187000E2091000",2091000,187000,2010,"Taunggoo","Oktwin"
"139","N187000E2097000",2097000,187000,2010,"Taunggoo","Taunggoo"
"140","N187000E2099000",2099000,187000,2010,"Taunggoo","Taunggoo"
"141","N187000E2101000",2101000,187000,2010,"Taunggoo","Taunggoo"
